Year,Arrival,Departure,Saldo,
,,,,
2000,399.7,457.2,-57.5,
2001,508.2,568.6,-60.4,
2002,590.7,593.4,-2.7,
2003,618.3,628.5,-10.2,
2004,739.9,737.8,2.1,
2005,845.8,833.3,12.5,
2006,983.7,962,21.7,
2007,1293.6,1296.8,-3.2,
2008,1397.2,1420.2,-23,
2009,1432,1457,-25,
2010,1754.2,1800.9,-46.7,
2011,1945.1,1988.9,-43.8,
2012,2191.8,2234.6,-42.8,
2013,2476.3,2507.5,-31.2,
2014,2734.6,2776.3,-41.7,
2015,2709.3,2752.7,-43.4,
2016,2867,2915.2,-48.2,
2017,3398.1,3425,-26.9,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
