Quarter,C_DRAM_SA,REM_DRAM_SA,GDP_EXP_DRAM_SA,D_REM_DRAM_DA,D_GDP_EXP_DRAM_SA,D_C_DRAM_SA,DUMMY2009Q1,DUMMY2014Q1,DUMMY2014Q4
2000Q1,12.46081484,,12.39287436,,,,0,0,0
2000Q2,12.47392339,,12.481025,,0.08815064,0.013108551,0,0,0
2000Q3,12.37446559,,12.37062742,,-0.110397581,-0.099457808,0,0,0
2000Q4,12.36992025,,12.46113869,,0.090511272,-0.004545332,0,0,0
2001Q1,12.48378988,,12.53543938,,0.074300695,0.113869628,0,0,0
2001Q2,12.51342277,,12.56075074,,0.025311356,0.029632891,0,0,0
2001Q3,12.49634858,,12.53735404,,-0.023396704,-0.017074193,0,0,0
2001Q4,12.51318548,,12.57955746,,0.042203419,0.0168369,0,0,0
2002Q1,12.5252004,,12.62827157,,0.048714118,0.012014917,0,0,0
2002Q2,12.51723292,,12.61416487,,-0.014106701,-0.00796748,0,0,0
2002Q3,12.62697462,,12.72297594,,0.108811071,0.1097417,0,0,0
2002Q4,12.66825689,,12.76144132,,0.038465376,0.041282275,0,0,0
2003Q1,12.63668958,,12.79032065,,0.02887933,-0.031567314,0,0,0
2003Q2,12.66156389,,12.82809003,,0.03776938,0.024874317,0,0,0
2003Q3,12.72217989,,12.87545072,,0.047360686,0.060615995,0,0,0
2003Q4,12.77364643,,12.9352872,,0.059836481,0.051466537,0,0,0
2004Q1,12.78458291,11.30479146,12.95319867,,0.017911475,0.010936484,0,0,0
2004Q2,12.7889243,11.41108956,12.99349972,0.106298096,0.040301044,0.004341386,0,0,0
2004Q3,12.90329034,11.42924838,13.05581397,0.018158824,0.062314254,0.114366042,0,0,0
2004Q4,12.92708599,11.49447807,13.06987386,0.06522969,0.014059886,0.023795653,0,0,0
2005Q1,12.94565435,11.4334709,13.12700256,-0.06100717,0.057128704,0.018568357,0,0,0
2005Q2,12.95288001,11.37938799,13.17112135,-0.054082912,0.044118784,0.007225666,0,0,0
2005Q3,12.92579902,11.42322397,13.18302114,0.04383598,0.011899797,-0.027080999,0,0,0
2005Q4,12.95484444,11.48979744,13.24859176,0.066573464,0.06557062,0.029045429,0,0,0
2006Q1,13.0235132,11.54456149,13.25417893,0.054764057,0.005587172,0.068668751,0,0,0
2006Q2,13.07778166,11.56966581,13.36655557,0.025104312,0.11237664,0.054268464,0,0,0
2006Q3,13.08584241,11.54889438,13.375065,-0.02077143,0.008509429,0.008060749,0,0,0
2006Q4,13.07888508,11.58598169,13.39539825,0.037087311,0.020333242,-0.00695733,0,0,0
2007Q1,13.1875561,11.65653654,13.42349577,0.070554853,0.028097527,0.108671026,0,0,0
2007Q2,13.23043798,11.68619821,13.5073754,0.029661671,0.08387963,0.042881881,0,0,0
2007Q3,13.23337227,11.71274151,13.55473517,0.026543299,0.047359768,0.002934286,0,0,0
2007Q4,13.26145199,11.72366258,13.57963967,0.010921074,0.024904502,0.028079717,0,0,0
2008Q1,13.32745747,11.76067591,13.59991166,0.037013329,0.020271992,0.066005479,0,0,0
2008Q2,13.34309313,11.82564833,13.65366875,0.064972419,0.053757082,0.015635661,0,0,0
2008Q3,13.37680025,11.8656593,13.75352674,0.040010968,0.099857995,0.033707124,0,0,0
2008Q4,13.36356634,11.69192699,13.59440621,-0.173732307,-0.159120535,-0.013233914,0,0,0
2009Q1,13.30107627,11.48809864,13.53820532,-0.203828357,-0.056200886,-0.062490064,1,0,0
2009Q2,13.3247652,11.62948886,13.48887053,0.141390222,-0.049334788,0.023688932,1,0,0
2009Q3,13.33762096,11.64843333,13.53365258,0.018944469,0.044782046,0.012855751,1,0,0
2009Q4,13.39912482,11.72061479,13.57838228,0.072181462,0.044729704,0.061503868,1,0,0
2010Q1,13.43449224,11.77190299,13.6108261,0.051288198,0.032443816,0.035367415,1,0,0
2010Q2,13.41295102,11.76254758,13.60448017,-0.00935541,-0.006345929,-0.021541215,1,0,0
2010Q3,13.48450122,11.77584572,13.62221436,0.013298136,0.017734192,0.071550198,1,0,0
2010Q4,13.49903689,11.84193869,13.6902234,0.066092971,0.068009042,0.014535669,1,0,0
2011Q1,13.54414252,11.88187596,13.70815974,0.039937272,0.017936333,0.045105624,1,0,0
2011Q2,13.57512623,11.94996928,13.71013666,0.068093322,0.00197692,0.030983709,1,0,0
2011Q3,13.55785471,11.97619035,13.72793794,0.026221067,0.017801282,-0.017271517,1,0,0
2011Q4,13.59908533,12.03282822,13.75326188,0.056637874,0.025323937,0.041230624,1,0,0
2012Q1,13.6298312,12.06576354,13.7649897,0.032935315,0.011727818,0.030745871,1,0,0
2012Q2,13.67744798,12.08985506,13.79225813,0.024091526,0.027268432,0.047616777,1,0,0
2012Q3,13.69174707,12.15103188,13.79940496,0.061176812,0.007146833,0.014299094,1,0,0
2012Q4,13.7128035,12.17946378,13.78710035,0.028431901,-0.01230461,0.021056426,1,0,0
2013Q1,13.78234071,12.21082328,13.92636272,0.0313595,0.139262364,0.06953721,1,0,0
2013Q2,13.78208426,12.25484297,13.89412224,0.044019694,-0.032240473,-0.000256445,1,0,0
2013Q3,13.80920612,12.27299784,13.91580479,0.018154874,0.021682544,0.027121853,1,0,0
2013Q4,13.80320994,12.30764881,13.93661029,0.034650962,0.020805504,-0.005996181,1,0,0
2014Q1,13.80001579,12.39115101,13.95150907,0.083502203,0.014898783,-0.003194149,1,1,0
2014Q2,13.79594826,12.26864679,13.94841782,-0.122504219,-0.003091256,-0.004067526,1,1,0
2014Q3,13.83738752,12.23431219,13.97617463,-0.0343346,0.027756816,0.041439255,1,1,0
2014Q4,13.88414899,12.0984301,14.0154688,-0.135882094,0.039294167,0.046761474,1,1,1
2015Q1,13.80185785,11.99090052,14.01963878,-0.107529582,0.004169984,-0.082291144,1,1,1
2015Q2,13.79507983,12.12606732,14.01821996,0.135166808,-0.00141882,-0.006778013,1,1,1
2015Q3,13.78339981,11.98653922,14.0326271,-0.139528099,0.014407135,-0.011680025,1,1,1
2015Q4,13.77568421,11.97773301,14.01824214,-0.008806217,-0.014384963,-0.0077156,1,1,1
2016Q1,13.77191401,11.91677718,14.0384172,-0.060955826,0.020175064,-0.003770202,1,1,1
2016Q2,13.77778408,11.94547804,14.04334424,0.028700862,0.004927034,0.005870077,1,1,1
2016Q3,13.78009815,11.93470254,14.03669594,-0.010775506,-0.006648293,0.002314067,1,1,1
2016Q4,13.78903285,11.97640179,14.01016274,0.041699253,-0.026533203,0.008934694,1,1,1
2017Q1,13.83393314,12.06405332,14.11717916,0.087651533,0.107016421,0.044900291,1,1,1
2017Q2,13.87929219,12.04487506,14.09951007,-0.019178259,-0.017669086,0.045359052,1,1,1
2017Q3,13.82439005,12.05303733,14.07835495,0.008162269,-0.021155127,-0.05490214,1,1,1
2017Q4,,12.10414805,,0.05111072,,,1,1,1
